Number,Name,Size(m),Weight(lb),Weight(kg),PokedexColor,Type1,Type2,Evolution,NormalDamage,FireDamage,WaterDamage,ElectricDamage,GrassDamage,IceDamage,FightingDamage,PoisonDamage,GroundDamage,FlyingDamage,PsychcDamage,BugDamage,RockDamage,GhostDamage,DragonDamage,DarkDamage,SteelDamage,FairyDamage
1,Bulbasaur,0.7,15.2,6.9, Green,Grass,Poison,"[2, 3]",*1,*2,*0.5,*0.5,*0.25,*2,*0.5,*1,*1,*2,*2,*1,*1,*1,*1,*1,*1,*0.5
2,Ivysaur,1.0,28.7,13.0, Green,Grass,Poison,[3],*1,*2,*0.5,*0.5,*0.25,*2,*0.5,*1,*1,*2,*2,*1,*1,*1,*1,*1,*1,*0.5
3,Venusaur,2.0,220.5,100.0, Green,Grass,Poison,[],*1,*2,*0.5,*0.5,*0.25,*2,*0.5,*1,*1,*2,*2,*1,*1,*1,*1,*1,*1,*0.5
4,Charmander,0.6,18.7,8.5, Red,Fire,,"[5, 6]",*1,*0.5,*2,*1,*0.5,*0.5,*1,*1,*2,*1,*1,*0.5,*2,*1,*1,*1,*0.5,*0.5
5,Charmeleon,1.1,41.9,19.0, Red,Fire,,[6],*1,*0.5,*2,*1,*0.5,*0.5,*1,*1,*2,*1,*1,*0.5,*2,*1,*1,*1,*0.5,*0.5
6,Charizard,1.7,199.5,90.5, Red,Fire,Flying,[],*1,*0.5,*2,*2,*0.25,*1,*0.5,*1,*0,*1,*1,*0.25,*4,*1,*1,*1,*0.5,*0.5
7,Squirtle,0.5,19.8,9.0, Blue,Water,,"[8, 9]",*1,*0.5,*0.5,*2,*2,*0.5,*1,*1,*1,*1,*1,*1,*1,*1,*1,*1,*0.5,*1
8,Wartortle,1.0,49.6,22.5, Blue,Water,,[9],*1,*0.5,*0.5,*2,*2,*0.5,*1,*1,*1,*1,*1,*1,*1,*1,*1,*1,*0.5,*1
9,Blastoise,1.6,188.5,85.5, Blue,Water,,[],*1,*0.5,*0.5,*2,*2,*0.5,*1,*1,*1,*1,*1,*1,*1,*1,*1,*1,*0.5,*1
10,Caterpie,0.3,6.4,2.9, Green,Bug,,"[11, 12]",*1,*2,*1,*1,*0.5,*1,*0.5,*1,*0.5,*2,*1,*1,*2,*1,*1,*1,*1,*1
11,Metapod,,,,,Bug,,[12],*1,*2,*1,*1,*0.5,*1,*0.5,*1,*0.5,*2,*1,*1,*2,*1,*1,*1,*1,*1
12,Butterfree,1.1,70.5,32.0, White,Bug,Flying,[],*1,*2,*1,*2,*0.25,*2,*0.25,*1,*0,*2,*1,*0.5,*4,*1,*1,*1,*1,*1
13,Weedle,0.3,7.1,3.2, Brown,Bug,Poison,"[14, 15]",*1,*2,*1,*1,*0.25,*1,*0.25,*0.5,*1,*2,*2,*0.5,*2,*1,*1,*1,*1,*0.5
14,Kakuna,,,,,Bug,Poison,[15],*1,*2,*1,*1,*0.25,*1,*0.25,*0.5,*1,*2,*2,*0.5,*2,*1,*1,*1,*1,*0.5
15,Beedrill,1.0,65.0,29.5, Yellow,Bug,Poison,[],*1,*2,*1,*1,*0.25,*1,*0.25,*0.5,*1,*2,*2,*0.5,*2,*1,*1,*1,*1,*0.5
16,Pidgey,0.3,4.0,1.8, Brown,Normal,Flying,"[17, 18]",*1,*1,*1,*2,*0.5,*2,*1,*1,*0,*1,*1,*0.5,*2,*0,*1,*1,*1,*1
17,Pidgeotto,1.1,66.1,30.0, Brown,Normal,Flying,[18],*1,*1,*1,*2,*0.5,*2,*1,*1,*0,*1,*1,*0.5,*2,*0,*1,*1,*1,*1
18,Pidgeot,1.5,87.1,39.5, Brown,Normal,Flying,[],*1,*1,*1,*2,*0.5,*2,*1,*1,*0,*1,*1,*0.5,*2,*0,*1,*1,*1,*1
19,Rattata,0.3,7.7,3.5, Purple,Normal,,[20],*1,*1,*1,*1,*1,*1,*2,*1,*1,*1,*1,*1,*1,*0,*1,*1,*1,*1
20,Raticate,0.7,40.8,18.5, Brown,Normal,,[],*1,*1,*1,*1,*1,*1,*2,*1,*1,*1,*1,*1,*1,*0,*1,*1,*1,*1
21,Spearow,0.3,4.4,2.0, Brown,Normal,Flying,[22],*1,*1,*1,*2,*0.5,*2,*1,*1,*0,*1,*1,*0.5,*2,*0,*1,*1,*1,*1
22,Fearow,1.2,83.8,38.0, Brown,Normal,Flying,[],*1,*1,*1,*2,*0.5,*2,*1,*1,*0,*1,*1,*0.5,*2,*0,*1,*1,*1,*1
23,Ekans,2.0,15.2,6.9, Purple,Poison,,[24],*1,*1,*1,*1,*0.5,*1,*0.5,*0.5,*2,*1,*2,*0.5,*1,*1,*1,*1,*1,*0.5
24,Arbok,3.5,143.3,65.0, Purple,Poison,,[],*1,*1,*1,*1,*0.5,*1,*0.5,*0.5,*2,*1,*2,*0.5,*1,*1,*1,*1,*1,*0.5
25,Pikachu,0.4,13.2,6.0, Yellow,Electric,,"[172, 26]",*1,*1,*1,*0.5,*1,*1,*1,*1,*2,*0.5,*1,*1,*1,*1,*1,*1,*0.5,*1
26,Raichu,0.8,66.1,30.0, Yellow,Electric,,[172],*1,*1,*1,*0.5,*1,*1,*1,*1,*2,*0.5,*1,*1,*1,*1,*1,*1,*0.5,*1
27,Sandshrew,0.6,26.5,12.0, Yellow,Ground,,[28],*1,*1,*2,*0,*2,*2,*1,*0.5,*1,*1,*1,*1,*0.5,*1,*1,*1,*1,*1
28,Sandslash,1.0,65.0,29.5, Yellow,Ground,,[],*1,*1,*2,*0,*2,*2,*1,*0.5,*1,*1,*1,*1,*0.5,*1,*1,*1,*1,*1
29,Nidoran♀,0.4,15.4,7.0, Blue,Poison,,"[30, 31, 32, 33, 34]",*1,*1,*1,*1,*0.5,*1,*0.5,*0.5,*2,*1,*2,*0.5,*1,*1,*1,*1,*1,*0.5
30,Nidorina,0.8,44.1,20.0, Blue,Poison,,"[31, 32, 33, 34]",*1,*1,*1,*1,*0.5,*1,*0.5,*0.5,*2,*1,*2,*0.5,*1,*1,*1,*1,*1,*0.5
31,Nidoqueen,1.3,132.3,60.0, Blue,Poison,Ground,"[32, 33, 34]",*1,*1,*2,*0,*1,*2,*0.5,*0.25,*2,*1,*2,*0.5,*0.5,*1,*1,*1,*1,*0.5
32,Nidoran♂,0.5,19.8,9.0, Purple,Poison,,"[33, 34]",*1,*1,*1,*1,*0.5,*1,*0.5,*0.5,*2,*1,*2,*0.5,*1,*1,*1,*1,*1,*0.5
33,Nidorino,0.9,43.0,19.5, Purple,Poison,,[34],*1,*1,*1,*1,*0.5,*1,*0.5,*0.5,*2,*1,*2,*0.5,*1,*1,*1,*1,*1,*0.5
34,Nidoking,1.4,136.7,62.0, Purple,Poison,Ground,[],*1,*1,*2,*0,*1,*2,*0.5,*0.25,*2,*1,*2,*0.5,*0.5,*1,*1,*1,*1,*0.5
35,Clefairy,0.6,16.5,7.5, Pink,Fairy,,"[173, 36]",*1,*1,*1,*1,*1,*1,*0.5,*2,*1,*1,*1,*0.5,*1,*1,*0,*0.5,*2,*1
36,Clefable,1.3,88.2,40.0, Pink,Fairy,,[173],*1,*1,*1,*1,*1,*1,*0.5,*2,*1,*1,*1,*0.5,*1,*1,*0,*0.5,*2,*1
37,Vulpix,0.6,21.8,9.9, Brown,Fire,,[38],*1,*0.5,*2,*1,*0.5,*0.5,*1,*1,*2,*1,*1,*0.5,*2,*1,*1,*1,*0.5,*0.5
